id,nepali_name,sanskrit_name,author_rishi,subject,type,tradition
HG0064,तारसार उपनिषद्,तारसार उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0065,कलिसन्तरण उपनिषद्,कलिसन्तरण उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0066,रुद्रहृदय उपनिषद्,रुद्रहृदय उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0067,पञ्चब्रह्म उपनिषद्,पञ्चब्रह्म उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0068,दक्षिणामूर्ति उपनिषद्,दक्षिणामूर्ति उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0069,भस्मजाबाल उपनिषद्,भस्मजाबाल उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0070,शरभ उपनिषद्,शरभ उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0071,गणपति उपनिषद्,गणपति उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0072,अन्नपूर्णा उपनिषद्,अन्नपूर्णा उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0073,त्रिपुरातापिनी उपनिषद्,त्रिपुरातापिनी उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0074,देवी उपनिषद्,देवी उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0075,भावना उपनिषद्,भावना उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0076,सीता उपनिषद्,सीता उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0077,राधा उपनिषद्,राधा उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0078,कृष्ण उपनिषद्,कृष्ण उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0079,हयग्रीव उपनिषद्,हयग्रीव उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0080,दत्तात्रेय उपनिषद्,दत्तात्रेय उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0081,गरुड उपनिषद्,गरुड उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0082,गोपालतापिनी उपनिषद्,गोपालतापिनी उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0083,रामतापिनी उपनिषद्,रामतापिनी उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0084,रामरहस्य उपनिषद्,रामरहस्य उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0085,नृसिंहतापिनी उपनिषद्,नृसिंहतापिनी उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0086,महानारायण उपनिषद्,महानारायण उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0087,नादबिन्दु उपनिषद्,नादबिन्दु उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0088,निर्वाण उपनिषद्,निर्वाण उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0089,आत्मबोध उपनिषद्,आत्मबोध उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0090,मुद्गल उपनिषद्,मुद्गल उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0091,त्रिपुरा उपनिषद्,त्रिपुरा उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0092,सौभाग्यलक्ष्मी उपनिषद्,सौभाग्यलक्ष्मी उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0093,बह्वृच उपनिषद्,बह्वृच उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0094,सन्ध्योपासना उपनिषद्,सन्ध्योपासना उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0095,सूर्य उपनिषद्,सूर्य उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0096,नारदपरिव्राजक उपनिषद्,नारदपरिव्राजक उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0097,परब्रह्म उपनिषद्,परब्रह्म उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0098,आश्रम उपनिषद्,आश्रम उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0099,परमात्मा उपनिषद्,परमात्मा उपनिषद्,परम्परागत ऋषि/अज्ञात,"ब्रह्म, आत्मा, ज्ञान, ध्यान र मोक्ष",उपनिषद्,वेदान्त/श्रुति
HG0100,ब्रह्म पुराण,ब्रह्म पुराण,वेदव्यास परम्परा,"सृष्टि, वंश, धर्म, तीर्थ, देवता र आख्यान",महापुराण,पुराण
HG0101,पद्म पुराण,पद्म पुराण,वेदव्यास परम्परा,"सृष्टि, वंश, धर्म, तीर्थ, देवता र आख्यान",महापुराण,पुराण
HG0102,विष्णु पुराण,विष्णु पुराण,वेदव्यास परम्परा,"सृष्टि, वंश, धर्म, तीर्थ, देवता र आख्यान",महापुराण,पुराण
HG0103,शिव पुराण,शिव पुराण,वेदव्यास परम्परा,"सृष्टि, वंश, धर्म, तीर्थ, देवता र आख्यान",महापुराण,पुराण
HG0104,भागवत पुराण,भागवत पुराण,वेदव्यास परम्परा,"सृष्टि, वंश, धर्म, तीर्थ, देवता र आख्यान",महापुराण,पुराण
HG0105,नारद पुराण,नारद पुराण,वेदव्यास परम्परा,"सृष्टि, वंश, धर्म, तीर्थ, देवता र आख्यान",महापुराण,पुराण
HG0106,मार्कण्डेय पुराण,मार्कण्डेय पुराण,वेदव्यास परम्परा,"सृष्टि, वंश, धर्म, तीर्थ, देवता र आख्यान",महापुराण,पुराण
HG0107,अग्नि पुराण,अग्नि पुराण,वेदव्यास परम्परा,"सृष्टि, वंश, धर्म, तीर्थ, देवता र आख्यान",महापुराण,पुराण
HG0108,भविष्य पुराण,भविष्य पुराण,वेदव्यास परम्परा,"सृष्टि, वंश, धर्म, तीर्थ, देवता र आख्यान",महापुराण,पुराण
HG0109,ब्रह्मवैवर्त पुराण,ब्रह्मवैवर्त पुराण,वेदव्यास परम्परा,"सृष्टि, वंश, धर्म, तीर्थ, देवता र आख्यान",महापुराण,पुराण
HG0110,लिङ्ग पुराण,लिङ्ग पुराण,वेदव्यास परम्परा,"सृष्टि, वंश, धर्म, तीर्थ, देवता र आख्यान",महापुराण,पुराण
HG0111,वराह पुराण,वराह पुराण,वेदव्यास परम्परा,"सृष्टि, वंश, धर्म, तीर्थ, देवता र आख्यान",महापुराण,पुराण
HG0112,स्कन्द पुराण,स्कन्द पुराण,वेदव्यास परम्परा,"सृष्टि, वंश, धर्म, तीर्थ, देवता र आख्यान",महापुराण,पुराण
HG0113,वामन पुराण,वामन पुराण,वेदव्यास परम्परा,"सृष्टि, वंश, धर्म, तीर्थ, देवता र आख्यान",महापुराण,पुराण
HG0114,कूर्म पुराण,कूर्म पुराण,वेदव्यास परम्परा,"सृष्टि, वंश, धर्म, तीर्थ, देवता र आख्यान",महापुराण,पुराण
HG0115,मत्स्य पुराण,मत्स्य पुराण,वेदव्यास परम्परा,"सृष्टि, वंश, धर्म, तीर्थ, देवता र आख्यान",महापुराण,पुराण
HG0116,गरुड पुराण,गरुड पुराण,वेदव्यास परम्परा,"सृष्टि, वंश, धर्म, तीर्थ, देवता र आख्यान",महापुराण,पुराण
HG0117,ब्रह्माण्ड पुराण,ब्रह्माण्ड पुराण,वेदव्यास परम्परा,"सृष्टि, वंश, धर्म, तीर्थ, देवता र आख्यान",महापुराण,पुराण
HG0118,वायु पुराण,वायु पुराण,वेदव्यास परम्परा,"सृष्टि, वंश, धर्म, तीर्थ, देवता र आख्यान",महापुराण,पुराण
HG0119,सनत्कुमार पुराण,सनत्कुमार पुराण,परम्परागत/विभिन्न परम्परा,"पुराणकथा, देवता, व्रत, तीर्थ र धर्म",उपपुराण,पुराण
HG0120,नरसिंह पुराण,नरसिंह पुराण,परम्परागत/विभिन्न परम्परा,"पुराणकथा, देवता, व्रत, तीर्थ र धर्म",उपपुराण,पुराण
HG0121,नारदीय पुराण,नारदीय पुराण,परम्परागत/विभिन्न परम्परा,"पुराणकथा, देवता, व्रत, तीर्थ र धर्म",उपपुराण,पुराण
HG0122,शिवरहस्य पुराण,शिवरहस्य पुराण,परम्परागत/विभिन्न परम्परा,"पुराणकथा, देवता, व्रत, तीर्थ र धर्म",उपपुराण,पुराण
HG0123,दुर्वासा पुराण,दुर्वासा पुराण,परम्परागत/विभिन्न परम्परा,"पुराणकथा, देवता, व्रत, तीर्थ र धर्म",उपपुराण,पुराण
HG0124,कपिल पुराण,कपिल पुराण,परम्परागत/विभिन्न परम्परा,"पुराणकथा, देवता, व्रत, तीर्थ र धर्म",उपपुराण,पुराण
HG0125,मानव पुराण,मानव पुराण,परम्परागत/विभिन्न परम्परा,"पुराणकथा, देवता, व्रत, तीर्थ र धर्म",उपपुराण,पुराण
HG0126,औशनस पुराण,औशनस पुराण,परम्परागत/विभिन्न परम्परा,"पुराणकथा, देवता, व्रत, तीर्थ र धर्म",उपपुराण,पुराण
HG0127,वरुण पुराण,वरुण पुराण,परम्परागत/विभिन्न परम्परा,"पुराणकथा, देवता, व्रत, तीर्थ र धर्म",उपपुराण,पुराण
HG0128,कालिका पुराण,कालिका पुराण,परम्परागत/विभिन्न परम्परा,"पुराणकथा, देवता, व्रत, तीर्थ र धर्म",उपपुराण,पुराण
HG0129,माहेश्वर पुराण,माहेश्वर पुराण,परम्परागत/विभिन्न परम्परा,"पुराणकथा, देवता, व्रत, तीर्थ र धर्म",उपपुराण,पुराण
HG0130,साम्ब पुराण,साम्ब पुराण,परम्परागत/विभिन्न परम्परा,"पुराणकथा, देवता, व्रत, तीर्थ र धर्म",उपपुराण,पुराण
HG0131,सौर पुराण,सौर पुराण,परम्परागत/विभिन्न परम्परा,"पुराणकथा, देवता, व्रत, तीर्थ र धर्म",उपपुराण,पुराण
HG0132,पाराशर पुराण,पाराशर पुराण,परम्परागत/विभिन्न परम्परा,"पुराणकथा, देवता, व्रत, तीर्थ र धर्म",उपपुराण,पुराण
HG0133,मारीच पुराण,मारीच पुराण,परम्परागत/विभिन्न परम्परा,"पुराणकथा, देवता, व्रत, तीर्थ र धर्म",उपपुराण,पुराण
HG0134,भार्गव पुराण,भार्गव पुराण,परम्परागत/विभिन्न परम्परा,"पुराणकथा, देवता, व्रत, तीर्थ र धर्म",उपपुराण,पुराण
